Molecule Name,Structure (CXSMILES),Batch Name,Barcode,Run Date,experiment_name,plate,chem_id,cell_line,frag_id,core_id,lib_plate_id,lib_well,batch,protein_reporter,reporter,gene_symbol,drc_curve,drc_curve File Name,drc_curve_no_ctrls,drc_curve_no_ctrls File Name,direction,ec50_estimate (log10([M])),ec50_std_error (log10([M])),ec50_ci_upper (log10([M])),ec50_ci_lower (log10([M])),slope_estimate (arb. units),slope_std_error (arb. units),slope_ci_upper (arb. units),slope_ci_lower (arb. units),emax_estimate (raw),emax_std_error (raw),emax_ci_upper (raw),emax_ci_lower (raw),emin_estimate (raw),emin_std_error (raw),emin_ci_upper (raw),emin_ci_lower (raw),emax_vs_pos_ctrl_estimate (linear),emax_vs_pos_ctrl_ci_upper (linear),emax_vs_pos_ctrl_ci_lower (linear),max_dose_activity_vs_pos_ctrl_estimate (linear),max_dose_activity_vs_pos_ctrl_ci_upper (linear),max_dose_activity_vs_pos_ctrl_ci_lower (linear),emin_vs_pos_ctrl_estimate (linear),emin_vs_pos_ctrl_ci_upper (linear),emin_vs_pos_ctrl_ci_lower (linear),pseudoyield,product_peak_area,qc_flag,version,ec05,conc_at_05_activity,conc_at_pos_ctrl_ec05_activity,ec50_clean (log10([M])),EC50 [uM],ec50_group,analysis_id,activity_status,saturation_status,rollover_status
OCNT-0002416,COC(C)(C(=O)O)C1=CC=CC=C1,AA-003,,2026-04-22,OPA_PXR-046,Plate01,OCNT-0002416||NA|NA|AA-003,c6385,OCNT-0002416,,,,,,gal4uas,GAL4_DBD-NR1I2_LBD,https://app.collaborativedrug.com/vaults/5589/files/36376139,OCNT-0002416-AA-003_c6385.png,https://app.collaborativedrug.com/vaults/5589/files/36376140,OCNT-0002416-AA-003_c6385_no-ctrls.png,UP,-2.73,0.331,-2.03,-3.25,0.959,0.178,1.39,0.722,524E+03,175E+03,947E+03,285E+03,84.8E+03,1.03E+03,86.9E+03,82.8E+03,1.34,2.66,0.607,0.0430,0.0609,0.0267,65.4E-06,6.45E-03,-6.08E-03,,,PASS,6.4.1,-4.11,-4.21,-4.21,-2.73,1.85E+03,ec50_clean is deprecated - please use ec50_estimate!,OEA-55547,YES,NO,NO
OCNT-2432809,COC(C)(C(=O)NC1CCC2=NC(C3=CC=CC=C3)=NC=C2C1)C1=CC=CC=C1,ZZ-002,,2026-04-22,OPA_PXR-046,Plate01,OCNT-2432809||NA|NA|ZZ-002,c6385,OCNT-2432809,,,,,,gal4uas,GAL4_DBD-NR1I2_LBD,https://app.collaborativedrug.com/vaults/5589/files/36376151,OCNT-2432809-ZZ-002_c6385.png,https://app.collaborativedrug.com/vaults/5589/files/36376152,OCNT-2432809-ZZ-002_c6385_no-ctrls.png,UP,-3.79,0.195,-3.28,-4.07,0.722,0.0147,0.760,0.708,292E+03,51.8E+03,441E+03,253E+03,84.8E+03,1.03E+03,86.9E+03,82.8E+03,0.631,1.07,0.494,0.185,0.230,0.144,65.4E-06,6.45E-03,-6.08E-03,,,PASS,6.4.1,-5.56,-5.25,-5.25,-3.79,163,ec50_clean is deprecated - please use ec50_estimate!,OEA-55547,YES,NO,NO
OCNT-2432603,CCOC=CC(O)(CNC(=O)C(C)(OC)C1=CC=CC=C1)C(F)(F)F,ZZ-002,,2026-04-22,OPA_PXR-046,Plate01,OCNT-2432603||NA|NA|ZZ-002,c6385,OCNT-2432603,,,,,,gal4uas,GAL4_DBD-NR1I2_LBD,https://app.collaborativedrug.com/vaults/5589/files/36376157,OCNT-2432603-ZZ-002_c6385.png,https://app.collaborativedrug.com/vaults/5589/files/36376158,OCNT-2432603-ZZ-002_c6385_no-ctrls.png,UP,-5.52,0.0581,-5.39,-5.62,1.65,0.243,2.18,1.23,298E+03,12.8E+03,325E+03,275E+03,84.8E+03,1.03E+03,86.9E+03,82.8E+03,0.652,0.764,0.562,0.643,0.745,0.558,65.4E-06,6.45E-03,-6.08E-03,,,PASS,6.4.1,-6.31,-6.19,-6.19,-5.52,3.03,ec50_clean is deprecated - please use ec50_estimate!,OEA-55547,YES,YES,NO
OCNT-2432972,COC(C)(C(=O)NCC(C1=CC=CC(Cl)=C1)N1CCCC1)C1=CC=CC=C1,ZZ-002,,2026-04-22,OPA_PXR-046,Plate01,OCNT-2432972||NA|NA|ZZ-002,c6385,OCNT-2432972,,,,,,gal4uas,GAL4_DBD-NR1I2_LBD,https://app.collaborativedrug.com/vaults/5589/files/36376161,OCNT-2432972-ZZ-002_c6385.png,https://app.collaborativedrug.com/vaults/5589/files/36376162,OCNT-2432972-ZZ-002_c6385_no-ctrls.png,UP,-5.41,0.122,-5.13,-5.60,0.941,0.152,1.28,0.721,282E+03,17.8E+03,322E+03,255E+03,84.8E+03,1.03E+03,86.9E+03,82.8E+03,0.602,0.742,0.503,0.541,0.627,0.468,65.4E-06,6.45E-03,-6.08E-03,,,PASS,6.4.1,-6.80,-6.54,-6.54,-5.41,3.93,ec50_clean is deprecated - please use ec50_estimate!,OEA-55547,YES,NO,NO
OCNT-2432658,"COC(C)(C(=O)N[C@H]1CC=CC[C@@H]1C(F)(F)F)C1=CC=CC=C1 |&1:7,12|",ZZ-002,,2026-04-22,OPA_PXR-046,Plate01,OCNT-2432658||NA|NA|ZZ-002,c6385,OCNT-2432658,,,,,,gal4uas,GAL4_DBD-NR1I2_LBD,https://app.collaborativedrug.com/vaults/5589/files/36376163,OCNT-2432658-ZZ-002_c6385.png,https://app.collaborativedrug.com/vaults/5589/files/36376164,OCNT-2432658-ZZ-002_c6385_no-ctrls.png,UP,-5.12,0.102,-4.88,-5.28,1.49,0.233,2.01,1.09,278E+03,19.2E+03,325E+03,254E+03,84.8E+03,1.03E+03,86.9E+03,82.8E+03,0.590,0.745,0.496,0.548,0.640,0.476,65.4E-06,6.45E-03,-6.08E-03,,,PASS,6.4.1,-6.00,-5.83,-5.83,-5.12,7.53,ec50_clean is deprecated - please use ec50_estimate!,OEA-55547,YES,NO,NO
OCNT-2432713,COC(C)(C(=O)NC1CCC(C)CC1N1CCC2=CC=CC=C2C1)C1=CC=CC=C1,ZZ-002,,2026-04-22,OPA_PXR-046,Plate01,OCNT-2432713||NA|NA|ZZ-002,c6385,OCNT-2432713,,,,,,gal4uas,GAL4_DBD-NR1I2_LBD,https://app.collaborativedrug.com/vaults/5589/files/36376167,OCNT-2432713-ZZ-002_c6385.png,https://app.collaborativedrug.com/vaults/5589/files/36376168,OCNT-2432713-ZZ-002_c6385_no-ctrls.png,UP,-5.26,0.0422,-5.16,-5.33,2.75,0.538,4.07,1.95,280E+03,11.0E+03,303E+03,260E+03,84.8E+03,1.03E+03,86.9E+03,82.8E+03,0.596,0.697,0.516,0.593,0.690,0.514,65.4E-06,6.45E-03,-6.08E-03,,,PASS,6.4.1,-5.74,-5.65,-5.65,-5.26,5.53,ec50_clean is deprecated - please use ec50_estimate!,OEA-55547,YES,YES,NO
OCNT-2432593,COC(C)(C(=O)NCC1(C2=NC(C3=CC=CC=C3)=CS2)CCOCC1)C1=CC=CC=C1,ZZ-002,,2026-04-22,OPA_PXR-046,Plate01,OCNT-2432593||NA|NA|ZZ-002,c6385,OCNT-2432593,,,,,,gal4uas,GAL4_DBD-NR1I2_LBD,https://app.collaborativedrug.com/vaults/5589/files/36376172,OCNT-2432593-ZZ-002_c6385.png,https://app.collaborativedrug.com/vaults/5589/files/36376173,OCNT-2432593-ZZ-002_c6385_no-ctrls.png,UP,-5.45,0.201,-4.99,-5.75,1.52,0.280,2.19,1.09,413E+03,130E+03,755E+03,267E+03,84.8E+03,1.03E+03,86.9E+03,82.8E+03,1.00,2.05,0.551,0.635,0.775,0.513,65.4E-06,6.45E-03,-6.08E-03,,,PASS,6.4.1,-6.32,-6.31,-6.31,-5.45,3.57,ec50_clean is deprecated - please use ec50_estimate!,OEA-55547,YES,NO,YES
OCNT-2432987,COC(C)(C(=O)NC(C)C1=CC=C(OC2=CC=CN=C2)C(F)=C1)C1=CC=CC=C1,ZZ-002,,2026-04-22,OPA_PXR-046,Plate01,OCNT-2432987||NA|NA|ZZ-002,c6385,OCNT-2432987,,,,,,gal4uas,GAL4_DBD-NR1I2_LBD,https://app.collaborativedrug.com/vaults/5589/files/36376176,OCNT-2432987-ZZ-002_c6385.png,https://app.collaborativedrug.com/vaults/5589/files/36376178,OCNT-2432987-ZZ-002_c6385_no-ctrls.png,UP,-5.21,0.166,-4.88,-5.51,1.42,0.202,1.87,1.07,430E+03,139E+03,778E+03,263E+03,84.8E+03,1.03E+03,86.9E+03,82.8E+03,1.05,2.13,0.538,0.389,0.476,0.317,65.4E-06,6.45E-03,-6.08E-03,,,PASS,6.4.1,-6.13,-6.13,-6.13,-5.21,6.12,ec50_clean is deprecated - please use ec50_estimate!,OEA-55547,YES,NO,YES
OCNT-2432891,COC(C)(C(=O)NC1(C2=NC(C)=CC(C(F)F)=N2)CCCC1)C1=CC=CC=C1,ZZ-002,,2026-04-22,OPA_PXR-046,Plate01,OCNT-2432891||NA|NA|ZZ-002,c6385,OCNT-2432891,,,,,,gal4uas,GAL4_DBD-NR1I2_LBD,https://app.collaborativedrug.com/vaults/5589/files/36376180,OCNT-2432891-ZZ-002_c6385.png,https://app.collaborativedrug.com/vaults/5589/files/36376182,OCNT-2432891-ZZ-002_c6385_no-ctrls.png,UP,-5.22,0.0646,-5.08,-5.33,1.94,0.305,2.63,1.43,298E+03,14.7E+03,329E+03,273E+03,84.8E+03,1.03E+03,86.9E+03,82.8E+03,0.650,0.768,0.555,0.635,0.736,0.549,65.4E-06,6.45E-03,-6.08E-03,,,PASS,6.4.1,-5.90,-5.79,-5.79,-5.22,5.98,ec50_clean is deprecated - please use ec50_estimate!,OEA-55547,YES,NO,NO
OCNT-2432776,COC(C)(C(=O)NCC1=CC(Cl)=CC=C1OC(F)F)C1=CC=CC=C1,ZZ-002,,2026-04-22,OPA_PXR-046,Plate01,OCNT-2432776||NA|NA|ZZ-002,c6385,OCNT-2432776,,,,,,gal4uas,GAL4_DBD-NR1I2_LBD,https://app.collaborativedrug.com/vaults/5589/files/36376184,OCNT-2432776-ZZ-002_c6385.png,https://app.collaborativedrug.com/vaults/5589/files/36376186,OCNT-2432776-ZZ-002_c6385_no-ctrls.png,UP,-5.08,0.0851,-4.89,-5.23,1.32,0.137,1.62,1.08,509E+03,36.5E+03,592E+03,447E+03,84.8E+03,1.03E+03,86.9E+03,82.8E+03,1.29,1.57,1.07,1.17,1.35,1.02,65.4E-06,6.45E-03,-6.08E-03,,,PASS,6.4.1,-6.06,-6.15,-6.15,-5.08,8.36,ec50_clean is deprecated - please use ec50_estimate!,OEA-55547,YES,NO,NO
