plate	channel	row	col	molecule_name	batch_name	chem_id	chem_m	compound_class	luci	corrected	luci_norm	efdr	cell_line
Plate01	Luminescence	B	6	OCNT-2432456	AA-001	OCNT-2432456||NA|NA|AA-001	5.245093797779444e-9	Core_only Control	164393	NA	0.14218486965835644	NA	c6385
Plate01	Luminescence	B	8	OCNT-2434216	ZZ-001	OCNT-2434216||NA|NA|ZZ-001	5.245524319330986e-9	Library	149924	NA	0.10726463979154147	NA	c6385
Plate01	Luminescence	B	10	OCNT-2434249	ZZ-001	OCNT-2434249||NA|NA|ZZ-001	5.245524319330986e-9	Library	158999	NA	0.1291667122251128	NA	c6385
Plate01	Luminescence	B	11	OCNT-2434322	ZZ-001	OCNT-2434322||NA|NA|ZZ-001	5.245524319330986e-9	Library	146129	NA	0.09810559131932026	NA	c6385
Plate01	Luminescence	B	12	OCNT-2434117	ZZ-001	OCNT-2434117||NA|NA|ZZ-001	5.245524319330986e-9	Library	152007	NA	0.11229185928235454	NA	c6385
Plate01	Luminescence	B	15	OCNT-2434400	ZZ-001	OCNT-2434400||NA|NA|ZZ-001	5.245524319330986e-9	Library	152407	NA	0.11325723988548711	NA	c6385
Plate01	Luminescence	B	16	OCNT-2434399	ZZ-001	OCNT-2434399||NA|NA|ZZ-001	5.245524319330986e-9	Library	158571	NA	0.12813375497976143	NA	c6385
Plate01	Luminescence	B	17	OCNT-2434136	ZZ-001	OCNT-2434136||NA|NA|ZZ-001	5.245524319330986e-9	Library	145587	NA	0.09679750060207595	NA	c6385
Plate01	Luminescence	B	18	OCNT-2434156	ZZ-001	OCNT-2434156||NA|NA|ZZ-001	5.245524319330986e-9	Library	131377	NA	0.06250235467578873	NA	c6385
Plate01	Luminescence	B	19	OCNT-2434114	ZZ-001	OCNT-2434114||NA|NA|ZZ-001	5.245524319330986e-9	Library	156858	NA	0.12399951254684563	NA	c6385
Plate01	Luminescence	B	22	OCNT-2434412	ZZ-001	OCNT-2434412||NA|NA|ZZ-001	5.245524319330986e-9	Library	156174	NA	0.1223487117154888	NA	c6385
Plate01	Luminescence	B	23	OCNT-2434340	ZZ-001	OCNT-2434340||NA|NA|ZZ-001	5.245524319330986e-9	Library	149896	NA	0.10719706314932204	NA	c6385
