plate	channel	row	col	molecule_name	batch_name	chem_id	chem_m	compound_class	luci	corrected	luci_norm	efdr	cell_line
Plate01	Luminescence	B	6	OCNT-2469051	TL-001	OCNT-2469051||NA|NA|TL-001	5.137568322379613e-9	Library	166248	NA	0.0833803892514109	NA	c6385
Plate01	Luminescence	B	8	OCNT-2469065	TL-001	OCNT-2469065||NA|NA|TL-001	5.137568322379613e-9	Library	153428	NA	0.05380837937917385	NA	c6385
Plate01	Luminescence	B	10	OCNT-2469071	TL-001	OCNT-2469071||NA|NA|TL-001	5.137568322379613e-9	Library	164221	NA	0.07870469003058177	NA	c6385
Plate01	Luminescence	B	11	OCNT-2469080	TL-001	OCNT-2469080||NA|NA|TL-001	5.137568322379613e-9	Library	142733	NA	0.029138126213528605	NA	c6385
Plate01	Luminescence	B	12	OCNT-2318616	TL-001	OCNT-2318616||NA|NA|TL-001	5.137568322379613e-9	Library	141034	NA	0.025219027557293296	NA	c6385
Plate01	Luminescence	B	13	OCNT-2469118	TL-001	OCNT-2469118||NA|NA|TL-001	5.137568322379613e-9	Library	154633	NA	0.056587963770440924	NA	c6385
Plate01	Luminescence	B	15	OCNT-2469093	TL-001	OCNT-2469093||NA|NA|TL-001	5.137568322379613e-9	Library	157666	NA	0.06358421228389606	NA	c6385
Plate01	Luminescence	B	16	OCNT-2469092	TL-001	OCNT-2469092||NA|NA|TL-001	5.137568322379613e-9	Library	149268	NA	0.04421246977944647	NA	c6385
Plate01	Luminescence	B	17	OCNT-2469054	TL-001	OCNT-2469054||NA|NA|TL-001	5.137568322379613e-9	Library	161355	NA	0.07209366192653925	NA	c6385
Plate01	Luminescence	B	18	OCNT-2469058	TL-001	OCNT-2469058||NA|NA|TL-001	5.137568322379613e-9	Library	149411	NA	0.04454232917193717	NA	c6385
Plate01	Luminescence	B	19	OCNT-2469048	TL-001	OCNT-2469048||NA|NA|TL-001	5.137568322379613e-9	Library	180346	NA	0.11590037327471808	NA	c6385
