plate	channel	row	col	molecule_name	batch_name	chem_id	chem_m	compound_class	luci	corrected	luci_norm	efdr	cell_line
Plate01	Luminescence	K	10	C-11		C-11	NA	Negative Control	118242	NA	0.004346721997841686	NA	c6385
Plate01	Luminescence	K	11	C-11		C-11	NA	Negative Control	115264	NA	4.158836155075017e-4	NA	c6385
Plate01	Luminescence	K	12	C-11		C-11	NA	Negative Control	103669	NA	-0.014889042859699381	NA	c6385
Plate01	Luminescence	K	13	C-11		C-11	NA	Negative Control	106687	NA	-0.010905406110913216	NA	c6385
Plate01	Luminescence	K	14	C-11		C-11	NA	Negative Control	124812	NA	0.013018853687544855	NA	c6385
Plate01	Luminescence	K	15	C-11		C-11	NA	Negative Control	105275	NA	-0.012769188446660902	NA	c6385
Plate01	Luminescence	K	16	C-11		C-11	NA	Negative Control	129890	NA	0.01972160630859718	NA	c6385
Plate01	Luminescence	K	17	C-11		C-11	NA	Negative Control	113193	NA	-0.0023177518075329175	NA	c6385
Plate01	Luminescence	K	18	C-11		C-11	NA	Negative Control	111816	NA	-0.004135335572635151	NA	c6385
Plate01	Luminescence	K	19	C-11		C-11	NA	Negative Control	100485	NA	-0.019091792829260122	NA	c6385
Plate01	Luminescence	K	20	C-11		C-11	NA	Negative Control	103870	NA	-0.014623731068279123	NA	c6385
Plate01	Luminescence	K	21	C-11		C-11	NA	Negative Control	122143	NA	0.009495882686050668	NA	c6385
Plate01	Luminescence	K	22	C-11		C-11	NA	Negative Control	123406	NA	0.011162991106765089	NA	c6385
Plate01	Luminescence	K	23	C-11		C-11	NA	Negative Control	105677	NA	-0.012238564863820595	NA	c6385
Plate01	Luminescence	K	24	C-11		C-11	NA	Negative Control	142628	NA	0.03653524610516321	NA	c6385
Plate01	Luminescence	L	20	OCNT-2313323	AA-004	OCNT-2313323||NA|NA|AA-004	5.154e-9	Library	118844	NA	0.005141337412940763	NA	c6385
Plate01	Luminescence	L	25	C-11		C-11	NA	Negative Control	106710	NA	-0.010875047050203448	NA	c6385
Plate01	Luminescence	L	26	C-11		C-11	NA	Negative Control	114168	NA	-0.0010307916252711635	NA	c6385
Plate01	Luminescence	L	27	C-11		C-11	NA	Negative Control	106509	NA	-0.01114035884162367	NA	c6385
Plate01	Luminescence	L	28	C-11		C-11	NA	Negative Control	98534	NA	-0.021667033152945308	NA	c6385
Plate01	Luminescence	L	29	C-11		C-11	NA	Negative Control	111902	NA	-0.004021819084763768	NA	c6385
Plate01	Luminescence	L	30	C-11		C-11	NA	Negative Control	113910	NA	-0.0013713410888849633	NA	c6385
Plate01	Luminescence	L	31	C-11		C-11	NA	Negative Control	119848	NA	0.006466576410880319	NA	c6385
Plate01	Luminescence	L	32	C-11		C-11	NA	Negative Control	133017	NA	0.023849118605964267	NA	c6385
Plate01	Luminescence	L	33	C-11		C-11	NA	Negative Control	124869	NA	0.013094091359738703	NA	c6385
Plate01	Luminescence	L	34	C-11		C-11	NA	Negative Control	123779	NA	0.011655335873927843	NA	c6385
Plate01	Luminescence	L	35	C-11		C-11	NA	Negative Control	140824	NA	0.03415403977818832	NA	c6385
Plate01	Luminescence	L	36	C-11		C-11	NA	Negative Control	122086	NA	0.009420645013856744	NA	c6385
Plate01	Luminescence	L	37	C-11		C-11	NA	Negative Control	107005	NA	-0.010485659097621723	NA	c6385
Plate01	Luminescence	L	38	C-11		C-11	NA	Negative Control	122247	NA	0.009633158438825097	NA	c6385
Plate01	Luminescence	M	20	OCNT-2313323	AA-004	OCNT-2313323||NA|NA|AA-004	1.544e-8	Library	135169	NA	0.02668967072106952	NA	c6385
Plate01	Luminescence	N	20	OCNT-2313323	AA-004	OCNT-2313323||NA|NA|AA-004	4.632e-8	Library	193794	NA	0.10407227655194451	NA	c6385
Plate01	Luminescence	O	20	OCNT-2313323	AA-004	OCNT-2313323||NA|NA|AA-004	1.544e-7	Library	337325	NA	0.2935273349316687	NA	c6385
Plate01	Luminescence	P	20	OCNT-2313323	AA-004	OCNT-2313323||NA|NA|AA-004	4.022e-7	Library	530272	NA	0.548209495225909	NA	c6385
Plate01	Luminescence	Q	20	OCNT-2313323	AA-004	OCNT-2313323||NA|NA|AA-004	1.609e-6	Library	720396	NA	0.799165410807817	NA	c6385
Plate01	Luminescence	R	20	OCNT-2313323	AA-004	OCNT-2313323||NA|NA|AA-004	4.827e-6	Library	730241	NA	0.8121604087507577	NA	c6385
Plate01	Luminescence	S	20	OCNT-2313323	AA-004	OCNT-2313323||NA|NA|AA-004	1.65e-5	Library	935787	NA	1.0834727345181445	NA	c6385
Plate01	Luminescence	T	20	OCNT-2313323	AA-004	OCNT-2313323||NA|NA|AA-004	4.95e-5	Library	868071	NA	0.9940903799519437	NA	c6385
Plate01	Luminescence	U	6	C-11		C-11	NA	Negative Control	130234	NA	0.02017567226008227	NA	c6385
