HTChem Library,Core,Compound ID,SMILES,Crude Batch ID,Hit or Chemisimilar,PXR DRC Experiment,Crude EC50s (µM),Crude pEC50s (log),Crude Emax normalized,Crude Emax raw,Volatility,CAD Yield/Volatility Note,Crude EvapT (°C),Crude Theoretical Mass-on-Column (ng),Crude Peak Area (pA*min),Crude Actual Mass-on-Column (ng),Crude Product Yield (%),Crude Correction Factor,Corrected Crude EC50 (µM),Corrected Crude pEC50 (log),Crude DRC pEC50 SE (log),Crude CAD Peak Area CV (%),Crude CAD Slope CV (%),Crude CAD Yield SE (log10),Corrected Crude pEC50 ±1 SE (log),Crude pEC50 ±95% CI (log),Corrected Crude pEC50 ±95% CI (log)
Library 66534,OCNT-2432456,OCNT-2434051,O=C(Cn1ncc(=O)c2ccccc12)N[C@H]1CCO[C@@H]1c1cncc(-c2ccccc2F)c1,ZZ-001,Hit,OPA_PXR-045,250,3.6020599913279625,1.04,536000,Non-volatile,Non-volatile,65,250.69,5.178,64.725,25.818740276835932,0.25818740276835933,64.54685069208983,4.190124942559653,0.291,9.193333333333333,31.74,0.14351083419100302,0.3244631867102916,0.57036,0.6359478459521716
Library 66534,OCNT-2432456,OCNT-2435359,CCCCCC1CN(C(=O)Cn2ncc(=O)c3ccccc23)C1,ZZ-001,Chemisimilar,OPA_PXR-045,18300,1.7375489102695705,1.15,523000,Non-volatile,Non-volatile,65,249.79,13.285,166.0625,66.48084390888347,0.6648084390888347,12165.994435325674,1.9148523865175067,0.518,4.108024087316522,31.74,0.13899482515698275,0.5363241197451595,1.01528,1.0511952747005127
Library 66534,OCNT-2432456,OCNT-2434044,O=C(Cn1ncc(=O)c2ccccc12)NC(Cc1ccc(F)cc1)C1COc2ccccc2O1,ZZ-001,Hit,OPA_PXR-045,4.99,5.30189945437661,0.593,351000,Non-volatile,Non-volatile,65,250.0,19.722,246.525,98.61,0.9861,4.920639,5.307978495575323,0.0791,3.047911976472974,31.74,0.13847916379353756,0.1594781765789834,0.155036,0.3125772260948074
Library 66534,OCNT-2432456,OCNT-2435005,COc1ccc(C(C)(O)C2CCCN2C(=O)Cn2ncc(=O)c3ccccc23)cc1,ZZ-001,Hit,OPA_PXR-045,74.5,4.127843727251707,0.704,355000,Non-volatile,Non-volatile,65,250.1,9.584,119.8,47.900839664134345,0.4790083966413434,35.68612554978009,4.447500600928917,0.273,5.36229549248748,31.74,0.1397984299457024,0.30671257068350405,0.53508,0.6011566385396679
Library 66534,OCNT-2432456,OCNT-2434406,Cc1nc2c(cc(OCCNC(=O)Cn3ncc(=O)c4ccccc34)c3ccsc23)s1,ZZ-001,Hit,OPA_PXR-045,30.6,4.51427857351842,0.673,384000,Non-volatile,Non-volatile,65,249.63,3.205,40.0625,16.048752153186715,0.16048752153186716,4.910918158875135,5.3088373033852125,0.157,14.32333853354134,31.74,0.15123089394450315,0.21799032841677532,0.30772,0.4272610436968796
Library 66534,OCNT-2432456,OCNT-2435320,O=C(Cn1ncc(=O)c2ccccc12)N1CC2(CCC2)C1c1ccncc1,ZZ-001,Hit,OPA_PXR-045,270,3.5686362358410126,0.973,457000,Non-volatile,Non-volatile,65,249.84,18.908,236.35000000000002,94.60054434838298,0.9460054434838299,255.42146974063405,3.592742600424222,0.296,3.1421028136238625,31.74,0.138518863956483,0.3268080104155873,0.58016,0.6405437004145511
Library 66534,OCNT-2432456,OCNT-2434958,CCOC(=O)C1CN(C(=O)Cn2ncc(=O)c3ccccc23)CC12CCCCCC2(F)F,ZZ-001,Hit,OPA_PXR-045,8.31,5.080398976215889,0.675,344000,Non-volatile,Non-volatile,65,250.17,20.303,253.78750000000002,101.44601670863813,1.0144601670863813,8.430163988487829,5.074163977142439,0.104,2.985301679554745,31.74,0.13845343680178407,0.17316279670363843,0.20384,0.33939908153913134
Library 66534,OCNT-2432456,OCNT-2435004,C#CCOC1CCCN(C(=O)Cn2ncc(=O)c3ccccc23)C1,ZZ-001,Hit,OPA_PXR-045,524,3.2806687130162735,1.15,525000,Non-volatile,Non-volatile,65,249.69,14.792,184.9,74.05182426208499,0.7405182426208499,388.03155913332535,3.4111329512097113,0.287,3.7771173607355326,31.74,0.13881767892567284,0.3188092658350933,0.5625199999999999,0.6248661610367828
Library 66534,OCNT-2432456,OCNT-2435239,Cc1nc(-c2ccccc2)sc1C(C)N(C)C(=O)Cn1ncc(=O)c2ccccc12,ZZ-001,Chemisimilar,OPA_PXR-045,18800,1.7258421507363202,1.15,525000,Non-volatile,Non-volatile,65,250.64,18.167,227.08750000000003,90.60305617618897,0.9060305617618897,17033.374561123524,1.768699303411949,0.537,3.235185776407772,31.74,0.13855927244754862,0.5545878397343329,1.0525200000000001,1.0869921658792925
Library 66534,OCNT-2432456,OCNT-2434107,Cc1ccc(C(NC(=O)Cn2ncc(=O)c3ccccc23)C2(C)CCCO2)o1,ZZ-001,Hit,OPA_PXR-045,53.8,4.269217724333611,1.2,603000,Non-volatile,Not sufficiently synthesized,65,249.27,Below LLOQ,-,-,-,-,-,0.159,-,-,-,-,0.31164,-
